0,1,2,3,4,5,6
110.0,40.0,10.0,5.0,45.0,1723.0,-3.631621987813794
111.0,40.0,40.0,5.0,15.0,1773.0,-3.9936223342086223
112.0,63.375,16.625,0.0,20.0,1723.0,-2.8679271170043434
113.0,59.25,20.75,0.0,20.0,1773.0,-2.8695781469210764
114.0,40.0,40.0,0.625,19.375,1673.0,-4.537664187436097
115.0,66.25,13.75,0.0,20.0,1773.0,-2.334632927371166
116.0,52.375,27.625,0.0,20.0,1673.0,-3.903255967716633
117.0,57.5,22.5,0.0,20.0,1673.0,-3.5951343424498403
118.0,40.0,40.0,3.333333333,16.66666667,1773.0,-4.053890243874116
119.0,40.0,40.0,2.916666667,17.08333333,1723.0,-4.293129106439075
120.0,63.74999999999999,16.25,0.0,20.0,1723.0,-2.8399603806136633
121.0,65.0,15.0,0.0,20.0,1723.0,-2.748503957905282
122.0,67.5,12.5,0.0,20.0,1673.0,-2.9445289428872563
123.0,57.875,22.125,0.0,20.0,1773.0,-2.9714350829511176
124.0,40.0,40.0,2.5,17.5,1723.0,-4.300866756156411
125.0,40.0,35.0,5.0,20.0,1773.0,-3.9062036934339814
126.0,40.0,40.0,1.666666667,18.33333333,1773.0,-4.088363712928068
127.0,40.0,36.66666667,5.0,18.33333333,1723.0,-4.17589798392841
128.0,68.875,11.125,0.0,20.0,1673.0,-2.8520481051085005
129.0,53.75,26.25,0.0,20.0,1673.0,-3.823887186571246
130.0,62.5,17.5,0.0,20.0,1673.0,-3.2755043446214187
131.0,40.0,40.0,0.208333333,19.79166667,1673.0,-4.541656320566849
132.0,40.0,40.0,1.875,18.125,1773.0,-4.084593831582566
133.0,51.0,29.000000000000004,0.0,20.0,1723.0,-3.7152505793766113
134.0,42.5,37.5,0.0,20.0,1723.0,-4.206103956934115
135.0,57.875,22.125,0.0,20.0,1723.0,-3.259190023624138
136.0,45.0,35.0,0.0,20.0,1723.0,-4.070821624276507
137.0,40.0,40.0,0.0,20.0,1773.0,-4.115855750973892
138.0,40.0,40.0,2.708333333,17.29166667,1773.0,-4.068591182926875
139.0,40.0,18.33333333,5.0,36.66666667,1723.0,-3.8021039902284026
140.0,40.0,6.666666667,5.0,48.33333333,1773.0,-3.2977154863487517
141.0,63.74999999999999,16.25,0.0,20.0,1723.0,-2.8382201385252244
142.0,65.0,15.0,0.0,20.0,1723.0,-2.7463892358192714
143.0,60.625,19.375,0.0,20.0,1673.0,-3.397489269894391
144.0,46.24999999999999,33.75,0.0,20.0,1773.0,-3.7612544605508926
145.0,40.0,6.666666667,5.0,48.33333333,1723.0,-3.5725805966868
146.0,40.0,40.0,3.75,16.25,1723.0,-4.272404113302152
147.0,40.0,13.33333333,5.0,41.66666667,1773.0,-3.430965384069911
148.0,56.5,23.5,0.0,20.0,1773.0,-3.071930873563024
149.0,40.0,40.0,2.083333333,17.91666667,1773.0,-4.080488790907835
150.0,40.0,38.33333333,5.0,16.66666667,1673.0,-4.418250346019669
151.0,40.0,30.0,5.0,25.0,1773.0,-3.8043136613626958
152.0,52.5,27.5,0.0,20.0,1723.0,-3.6204569111293656
153.0,56.5,23.5,0.0,20.0,1673.0,-3.658987931985185
154.0,45.5,34.5,0.0,20.0,1723.0,-4.043264820573997
155.0,70.25,9.75,0.0,20.0,1723.0,-2.3571764058953875
156.0,40.0,40.0,4.375,15.625,1673.0,-4.465642486496704
157.0,40.0,40.0,2.708333333,17.29166667,1773.0,-4.068371026781578
158.0,40.0,40.0,3.958333333,16.04166667,1673.0,-4.4811833790877005
159.0,67.5,12.5,0.0,20.0,1673.0,-2.94136773984926
160.0,40.0,16.66666667,5.0,38.33333333,1773.0,-3.5031374789840206
161.0,40.0,21.66666667,5.0,33.33333333,1673.0,-4.126647332105761
162.0,40.0,11.66666667,5.0,43.33333333,1773.0,-3.3968142175212224
163.0,48.25,31.75,0.0,20.0,1673.0,-4.138306092890144
164.0,40.0,38.33333333,5.0,16.66666667,1673.0,-4.418583704291376
165.0,40.0,20.0,5.0,35.0,1723.0,-3.8394496688910857
166.0,42.75,37.25,0.0,20.0,1673.0,-4.417858538279083
167.0,68.875,11.125,0.0,20.0,1673.0,-2.8479984399020988
168.0,53.75,26.25,0.0,20.0,1723.0,-3.539400483654944
169.0,52.5,27.5,0.0,20.0,1673.0,-3.9004615291249336
170.0,40.0,40.0,4.791666667,15.20833333,1773.0,-4.00661648341657
171.0,40.0,16.66666667,5.0,38.33333333,1673.0,-4.028149757375555
172.0,40.0,36.66666667,5.0,18.33333333,1773.0,-3.9415795685125197
173.0,47.5,32.5,0.0,20.0,1673.0,-4.179201098190724
174.0,68.75,11.25,0.0,20.0,1723.0,-2.46523433598536
175.0,40.0,35.0,5.0,20.0,1723.0,-4.150008192200195
176.0,63.375,16.625,0.0,20.0,1723.0,-2.863291394799085
177.0,50.0,30.0,0.0,20.0,1723.0,-3.778895113253255
178.0,45.0,35.0,0.0,20.0,1723.0,-4.0714923344133505
179.0,63.375,16.625,0.0,20.0,1673.0,-3.2166156305090867
180.0,40.0,6.666666667,5.0,48.33333333,1673.0,-3.8518001432912228
181.0,40.0,40.0,4.166666667,15.83333333,1773.0,-4.03036558637924
182.0,40.0,13.33333333,5.0,41.66666667,1673.0,-3.966034719831869
183.0,52.5,27.5,0.0,20.0,1773.0,-3.3564727240610703
184.0,40.0,43.33333333,5.0,11.66666667,1773.0,-4.044199493327458
185.0,63.375,16.625,0.0,20.0,1723.0,-2.8627667616746915
186.0,40.0,40.0,1.458333333,18.54166667,1773.0,-4.08998684586408
187.0,48.25,31.75,0.0,20.0,1673.0,-4.140241187719556
188.0,65.0,15.0,0.0,20.0,1673.0,-3.1076028489663545
189.0,57.5,22.5,0.0,20.0,1673.0,-3.598103946246746
190.0,40.0,18.33333333,5.0,36.66666667,1773.0,-3.5410424441347654
191.0,40.0,40.0,2.708333333,17.29166667,1773.0,-4.06785673282989
192.0,40.0,40.0,0.208333333,19.79166667,1773.0,-4.109885522194495
193.0,42.5,37.5,0.0,20.0,1773.0,-3.9790745334617843
194.0,54.99999999999999,25.0,0.0,20.0,1673.0,-3.753138072236123
